participant_id,scenario,acceptance,acceptance_score
PT156,外来導入_週2回,あまり受けたくない,2
PT156,外来導入_週1回,迷う,3
PT156,外来導入_週1回_訪問看護,受けたい,5
PT157,入院導入,受けたくない,1
PT157,外来導入_週2回,あまり受けたくない,2
PT157,外来導入_週1回,前向きに考えたい,4
PT157,外来導入_週1回_訪問看護,迷う,3
PT158,入院導入,受けたくない,1
PT158,外来導入_週2回,受けたくない,1
PT158,外来導入_週1回,迷う,3
PT158,外来導入_週1回_訪問看護,迷う,3
PT159,入院導入,あまり受けたくない,2
PT159,外来導入_週2回,あまり受けたくない,2
PT159,外来導入_週1回,迷う,3
PT159,外来導入_週1回_訪問看護,迷う,3
PT160,入院導入,あまり受けたくない,2
PT160,外来導入_週2回,前向きに考えたい,4
PT160,外来導入_週1回,前向きに考えたい,4
PT160,外来導入_週1回_訪問看護,前向きに考えたい,4
PT161,入院導入,受けたくない,1
PT161,外来導入_週2回,迷う,3
PT161,外来導入_週1回,前向きに考えたい,4
PT161,外来導入_週1回_訪問看護,迷う,3
PT162,入院導入,あまり受けたくない,2
PT162,外来導入_週2回,前向きに考えたい,4
PT162,外来導入_週1回,前向きに考えたい,4
PT162,外来導入_週1回_訪問看護,受けたい,5
PT163,入院導入,受けたくない,1
PT163,外来導入_週2回,迷う,3
PT163,外来導入_週1回,あまり受けたくない,2
PT163,外来導入_週1回_訪問看護,前向きに考えたい,4
PT164,入院導入,受けたくない,1
PT164,外来導入_週2回,あまり受けたくない,2
PT164,外来導入_週1回,迷う,3
PT164,外来導入_週1回_訪問看護,迷う,3
PT165,入院導入,あまり受けたくない,2
PT165,外来導入_週2回,前向きに考えたい,4
PT165,外来導入_週1回,前向きに考えたい,4
PT165,外来導入_週1回_訪問看護,迷う,3
PT166,入院導入,受けたくない,1
PT166,外来導入_週2回,前向きに考えたい,4
PT166,外来導入_週1回,受けたい,5
PT166,外来導入_週1回_訪問看護,前向きに考えたい,4
PT167,入院導入,あまり受けたくない,2
PT167,外来導入_週2回,前向きに考えたい,4
PT167,外来導入_週1回,前向きに考えたい,4
PT167,外来導入_週1回_訪問看護,前向きに考えたい,4
PT168,入院導入,迷う,3
PT168,外来導入_週2回,前向きに考えたい,4
PT168,外来導入_週1回,受けたい,5
PT168,外来導入_週1回_訪問看護,受けたい,5
PT169,入院導入,あまり受けたくない,2
PT169,外来導入_週2回,受けたい,5
PT169,外来導入_週1回,受けたい,5
PT169,外来導入_週1回_訪問看護,受けたい,5
PT170,入院導入,受けたくない,1
PT170,外来導入_週2回,受けたくない,1
PT170,外来導入_週1回,迷う,3
PT170,外来導入_週1回_訪問看護,前向きに考えたい,4
PT171,入院導入,あまり受けたくない,2
PT171,外来導入_週2回,前向きに考えたい,4
PT171,外来導入_週1回,前向きに考えたい,4
PT171,外来導入_週1回_訪問看護,前向きに考えたい,4
PT172,入院導入,受けたくない,1
PT172,外来導入_週2回,迷う,3
PT172,外来導入_週1回,受けたい,5
PT172,外来導入_週1回_訪問看護,前向きに考えたい,4
PT173,入院導入,受けたくない,1
PT173,外来導入_週2回,迷う,3
PT173,外来導入_週1回,迷う,3
PT173,外来導入_週1回_訪問看護,前向きに考えたい,4
PT174,入院導入,あまり受けたくない,2
PT174,外来導入_週2回,迷う,3
PT174,外来導入_週1回,前向きに考えたい,4
PT174,外来導入_週1回_訪問看護,前向きに考えたい,4
PT175,入院導入,あまり受けたくない,2
PT175,外来導入_週2回,あまり受けたくない,2
PT175,外来導入_週1回,前向きに考えたい,4
PT175,外来導入_週1回_訪問看護,受けたい,5
PT176,入院導入,あまり受けたくない,2
PT176,外来導入_週2回,前向きに考えたい,4
PT176,外来導入_週1回,前向きに考えたい,4
PT176,外来導入_週1回_訪問看護,前向きに考えたい,4
PT177,入院導入,受けたくない,1
PT177,外来導入_週2回,前向きに考えたい,4
PT177,外来導入_週1回,前向きに考えたい,4
PT177,外来導入_週1回_訪問看護,前向きに考えたい,4
PT178,入院導入,受けたくない,1
PT178,外来導入_週2回,迷う,3
PT178,外来導入_週1回,受けたくない,1
PT178,外来導入_週1回_訪問看護,前向きに考えたい,4
PT179,入院導入,受けたくない,1
PT179,外来導入_週2回,迷う,3
PT179,外来導入_週1回,受けたい,5
PT179,外来導入_週1回_訪問看護,受けたい,5
PT180,入院導入,受けたくない,1
PT180,外来導入_週2回,迷う,3
PT180,外来導入_週1回,前向きに考えたい,4
PT180,外来導入_週1回_訪問看護,前向きに考えたい,4
PT181,入院導入,受けたくない,1
PT181,外来導入_週2回,あまり受けたくない,2
PT181,外来導入_週1回,前向きに考えたい,4
PT181,外来導入_週1回_訪問看護,前向きに考えたい,4
PT182,入院導入,受けたくない,1
PT182,外来導入_週2回,前向きに考えたい,4
PT182,外来導入_週1回,前向きに考えたい,4
PT182,外来導入_週1回_訪問看護,前向きに考えたい,4
PT183,入院導入,迷う,3
PT183,外来導入_週2回,前向きに考えたい,4
PT183,外来導入_週1回,受けたい,5
PT183,外来導入_週1回_訪問看護,受けたい,5
PT184,入院導入,受けたくない,1
PT184,外来導入_週2回,迷う,3
PT184,外来導入_週1回,迷う,3
PT184,外来導入_週1回_訪問看護,受けたい,5
PT185,入院導入,受けたくない,1
PT185,外来導入_週2回,前向きに考えたい,4
PT185,外来導入_週1回,前向きに考えたい,4
PT185,外来導入_週1回_訪問看護,受けたい,5
PT186,入院導入,受けたくない,1
PT186,外来導入_週2回,あまり受けたくない,2
PT186,外来導入_週1回,あまり受けたくない,2
PT186,外来導入_週1回_訪問看護,前向きに考えたい,4
PT187,入院導入,受けたくない,1
PT187,外来導入_週2回,迷う,3
PT187,外来導入_週1回,迷う,3
PT187,外来導入_週1回_訪問看護,前向きに考えたい,4
PT188,入院導入,あまり受けたくない,2
PT188,外来導入_週2回,前向きに考えたい,4
PT188,外来導入_週1回,前向きに考えたい,4
PT188,外来導入_週1回_訪問看護,前向きに考えたい,4
PT189,入院導入,受けたくない,1
PT189,外来導入_週2回,迷う,3
PT189,外来導入_週1回,迷う,3
PT189,外来導入_週1回_訪問看護,あまり受けたくない,2
PT190,入院導入,迷う,3
PT190,外来導入_週2回,前向きに考えたい,4
PT190,外来導入_週1回,受けたい,5
PT190,外来導入_週1回_訪問看護,受けたい,5
PT191,入院導入,受けたくない,1
PT191,外来導入_週2回,前向きに考えたい,4
PT191,外来導入_週1回,前向きに考えたい,4
PT191,外来導入_週1回_訪問看護,受けたい,5
PT192,入院導入,あまり受けたくない,2
PT192,外来導入_週2回,前向きに考えたい,4
PT192,外来導入_週1回,受けたい,5
PT192,外来導入_週1回_訪問看護,受けたい,5
PT193,入院導入,あまり受けたくない,2
PT193,外来導入_週2回,前向きに考えたい,4
PT193,外来導入_週1回,前向きに考えたい,4
PT193,外来導入_週1回_訪問看護,迷う,3
PT194,入院導入,迷う,3
PT194,外来導入_週2回,迷う,3
PT194,外来導入_週1回,受けたい,5
PT194,外来導入_週1回_訪問看護,受けたい,5
PT195,入院導入,あまり受けたくない,2
PT195,外来導入_週2回,前向きに考えたい,4
PT195,外来導入_週1回,前向きに考えたい,4
PT195,外来導入_週1回_訪問看護,迷う,3
PT196,入院導入,受けたくない,1
PT196,外来導入_週2回,あまり受けたくない,2
PT196,外来導入_週1回,あまり受けたくない,2
PT196,外来導入_週1回_訪問看護,前向きに考えたい,4
PT197,入院導入,あまり受けたくない,2
PT197,外来導入_週2回,受けたい,5
PT197,外来導入_週1回,受けたい,5
PT197,外来導入_週1回_訪問看護,前向きに考えたい,4
PT198,入院導入,あまり受けたくない,2
PT198,外来導入_週2回,前向きに考えたい,4
PT198,外来導入_週1回,前向きに考えたい,4
PT198,外来導入_週1回_訪問看護,受けたい,5
PT199,入院導入,迷う,3
PT199,外来導入_週2回,前向きに考えたい,4
PT199,外来導入_週1回,前向きに考えたい,4
PT199,外来導入_週1回_訪問看護,受けたい,5
PT200,入院導入,受けたくない,1
PT200,外来導入_週2回,迷う,3
PT200,外来導入_週1回,前向きに考えたい,4
PT200,外来導入_週1回_訪問看護,前向きに考えたい,4
PT201,入院導入,あまり受けたくない,2
PT201,外来導入_週2回,受けたい,5
PT201,外来導入_週1回,前向きに考えたい,4
PT201,外来導入_週1回_訪問看護,受けたい,5
PT202,入院導入,あまり受けたくない,2
PT202,外来導入_週2回,受けたい,5
PT202,外来導入_週1回,受けたい,5
PT202,外来導入_週1回_訪問看護,前向きに考えたい,4
PT203,入院導入,受けたくない,1
PT203,外来導入_週2回,前向きに考えたい,4
PT203,外来導入_週1回,迷う,3
PT203,外来導入_週1回_訪問看護,前向きに考えたい,4
PT204,入院導入,あまり受けたくない,2
PT204,外来導入_週2回,前向きに考えたい,4
PT204,外来導入_週1回,前向きに考えたい,4
PT204,外来導入_週1回_訪問看護,前向きに考えたい,4
PT205,入院導入,受けたくない,1
PT205,外来導入_週2回,迷う,3
PT205,外来導入_週1回,前向きに考えたい,4
PT205,外来導入_週1回_訪問看護,受けたい,5
PT206,入院導入,受けたくない,1
PT206,外来導入_週2回,迷う,3
PT206,外来導入_週1回,前向きに考えたい,4
PT206,外来導入_週1回_訪問看護,受けたい,5
PT207,入院導入,あまり受けたくない,2
PT207,外来導入_週2回,前向きに考えたい,4
PT207,外来導入_週1回,受けたい,5
PT207,外来導入_週1回_訪問看護,前向きに考えたい,4
PT208,入院導入,受けたくない,1
PT208,外来導入_週2回,迷う,3
PT208,外来導入_週1回,迷う,3
PT208,外来導入_週1回_訪問看護,前向きに考えたい,4
PT209,入院導入,受けたくない,1
PT209,外来導入_週2回,前向きに考えたい,4
PT209,外来導入_週1回,前向きに考えたい,4
PT209,外来導入_週1回_訪問看護,前向きに考えたい,4
PT210,入院導入,迷う,3
PT210,外来導入_週2回,前向きに考えたい,4
PT210,外来導入_週1回,前向きに考えたい,4
PT210,外来導入_週1回_訪問看護,前向きに考えたい,4
PT211,入院導入,あまり受けたくない,2
PT211,外来導入_週2回,受けたい,5
PT211,外来導入_週1回,迷う,3
PT211,外来導入_週1回_訪問看護,前向きに考えたい,4
PT212,入院導入,あまり受けたくない,2
PT212,外来導入_週2回,迷う,3
PT212,外来導入_週1回,前向きに考えたい,4
PT212,外来導入_週1回_訪問看護,迷う,3
PT213,入院導入,受けたくない,1
PT213,外来導入_週2回,迷う,3
PT213,外来導入_週1回,あまり受けたくない,2
PT213,外来導入_週1回_訪問看護,迷う,3
PT214,入院導入,あまり受けたくない,2
PT214,外来導入_週2回,あまり受けたくない,2
PT214,外来導入_週1回,迷う,3
PT214,外来導入_週1回_訪問看護,迷う,3
PT215,入院導入,あまり受けたくない,2
PT215,外来導入_週2回,あまり受けたくない,2
PT215,外来導入_週1回,前向きに考えたい,4
PT215,外来導入_週1回_訪問看護,迷う,3
PT216,入院導入,あまり受けたくない,2
PT216,外来導入_週2回,迷う,3
PT216,外来導入_週1回,前向きに考えたい,4
PT216,外来導入_週1回_訪問看護,受けたい,5
PT217,入院導入,受けたくない,1
PT217,外来導入_週2回,迷う,3
PT217,外来導入_週1回,あまり受けたくない,2
PT217,外来導入_週1回_訪問看護,前向きに考えたい,4
PT218,入院導入,受けたくない,1
PT218,外来導入_週2回,あまり受けたくない,2
PT218,外来導入_週1回,前向きに考えたい,4
PT218,外来導入_週1回_訪問看護,前向きに考えたい,4
PT219,入院導入,あまり受けたくない,2
PT219,外来導入_週2回,前向きに考えたい,4
PT219,外来導入_週1回,前向きに考えたい,4
PT219,外来導入_週1回_訪問看護,前向きに考えたい,4
PT220,入院導入,あまり受けたくない,2
PT220,外来導入_週2回,前向きに考えたい,4
PT220,外来導入_週1回,前向きに考えたい,4
PT220,外来導入_週1回_訪問看護,前向きに考えたい,4
